fit_slot,source_type,source_intake_status,rows,cards,url_filled_rows,release_allowed
foreign_hitter,contract_access_source,not_started_locked,29,29,0,False
foreign_hitter,contract_access_source,prefilled_needs_human_review,2,2,2,False
foreign_hitter,current_stat_page,prefilled_needs_human_review,31,31,31,False
foreign_hitter,korea_or_overseas_willingness_source_if_available,not_started_locked,31,31,0,False
foreign_hitter,medical_current_status_source,not_started_locked,30,30,0,False
foreign_hitter,medical_current_status_source,prefilled_needs_human_review,1,1,1,False
foreign_hitter,of_dh_role_and_defense_source,prefilled_needs_human_review,31,31,31,False
foreign_hitter,recent_video_or_scouting_report,not_started_locked,31,31,0,False
foreign_pitcher,contract_access_source,not_started_locked,40,40,0,False
foreign_pitcher,contract_access_source,prefilled_needs_human_review,1,1,1,False
foreign_pitcher,current_stat_page,prefilled_needs_human_review,41,41,41,False
foreign_pitcher,korea_or_overseas_willingness_source_if_available,not_started_locked,41,41,0,False
foreign_pitcher,medical_current_status_source,not_started_locked,40,40,0,False
foreign_pitcher,medical_current_status_source,prefilled_needs_human_review,1,1,1,False
foreign_pitcher,recent_video_or_scouting_report,not_started_locked,41,41,0,False
foreign_pitcher,transaction_or_roster_status_source,prefilled_needs_human_review,41,41,41,False
foreign_pitcher,workload_starter_runway_source,prefilled_needs_human_review,41,41,41,False
